symbol,name,gql_symbol,gql_name,exch,gics_sector,industry,qm,shares_outstanding,market_cap,price,gql_ok,suffix,tsxv_sector,drop_reason,in_universe
AZS,Arizona Gold & Silver Inc.,AZS,Arizona Gold & Silver Inc.,TSXV,Materials,Mining,Precious Metals,152485851.0,125038398.0,0.82,True,,Mining,,True
ARK,Arras Minerals Corp.,ARK,Arras Minerals Corp.,TSXV,Materials,Mining,Precious Metals,143514174.0,225317254.0,1.57,True,,Mining,,True
AXL,Arrow Exploration Corp.,AXL,Arrow Exploration Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,285864348.0,171518609.0,0.6,True,,Oil & Gas,,True
ARTG,Artemis Gold Inc.,ARTG,Artemis Gold Inc.,TSXV,Materials,Mining,Gold,233215778.0,9774073256.0,41.91,True,,Mining,,True
AOCC.P,Artrari One Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
RBZ,Arya Resources Ltd.,RBZ,Arya Resources Ltd.,TSXV,Materials,Mining,Industrial Metals,50063779.0,16771366.0,0.335,True,,Mining,,True
ASE,Asante Gold Corporation,ASE,Asante Gold Corporation,TSXV,Materials,Mining,Gold,904549178.0,927162908.0,1.025,True,,Mining,,True
ABZ,ASIABASEMETALS INC.,ABZ,AsiaBaseMetals Inc.,TSXV,Materials,Mining,Industrial Metals,50202871.0,4267245.0,0.085,True,,Mining,,True
SAT,Asian Television Network International Ltd.,SAT,Asian Television Network International L,TSXV,Media,Traditional Media,Broadcasting,24402914.0,976117.0,0.04,True,,Diversified Industries,,True
ATOI,Asiatel Outsourcing Inc.,ATOI,Asiatel Outsourcing Inc.,TSXV,Industrials,Corporate Services,Specialized Business Services,49618500.0,6202313.0,0.125,True,,Diversified Industries,,True
ATR.P,Aster Acquisition Corp.,ATR,Aster Acquisition Corp.,TSXV,,,,6700000.0,603000.0,0.09,True,P,Diversified Industries,suffix:P,False
BAY,Aston Bay Holdings Ltd.,BAY,Aston Bay Holdings Ltd.,TSXV,Materials,Mining,Industrial Metals,252949635.0,11382734.0,0.045,True,,Mining,,True
ASTR,Astra Exploration Inc.,ASTR,Astra Exploration Inc.,TSXV,Materials,Mining,Precious Metals,137435050.0,57722721.0,0.42,True,,Mining,,True
AST,Astron Connect Inc.,AST,Astron Connect Inc.,TSXV,Consumer Staples,Consumer Products - Foods,"Canned, Frozen & Preserved Foods",30271240.0,908138.0,0.03,True,,Diversified Industries,,True
SASK,Atha Energy Corp.,SASK,Atha Energy Corp.,TSXV,Energy,Other Energy Sources,Uranium,352142434.0,426092346.0,1.21,True,,CleanTech,,True
ATY,Atico Mining Corporation,ATY,Atico Mining Corporation,TSXV,Materials,Mining,Industrial Metals,181380750.0,39903765.0,0.22,True,,Mining,,True
ATLH.P,Atlantic Horizon Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ATLE,Atlas Energy Corp.,ATLE,Atlas Energy Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,629439353.0,69238329.0,0.11,True,,Oil & Gas,,True
AEP,Atlas Engineered Products Ltd.,AEP,Atlas Engineered Products Ltd.,TSXV,Industrials,Construction,Building Products & Equipment,71642701.0,44418475.0,0.62,True,,Diversified Industries,,True
ACAP.P,Atlas One Capital Corporation,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
SALT,Atlas Salt Inc.,SALT,Atlas Salt Inc.,TSXV,Materials,Mining,Industrial Metals,124801426.0,212162425.0,1.7,True,,Mining,,True
ATOM,Atomic Minerals Corporation,ATOM,Atomic Minerals Corporation,TSXV,Materials,Mining,Industrial Metals,87393302.0,2621800.0,0.03,True,,Mining,,True
AAN,Aton Resources Inc.,AAN,Aton Resources Inc.,TSXV,Materials,Mining,Gold,98754350.0,49377175.0,0.5,True,,Mining,,True
AUGC,Au Gold Corp.,AUGC,Au Gold Corp.,TSXV,Materials,Mining,Gold,58539157.0,11122440.0,0.19,True,,Mining,,True
AUM,AuMega Metals Ltd.,AUM,AuMega Metals Ltd.,TSXV,Materials,Mining,Gold,957882291.0,38315292.0,0.04,True,,Mining,,True
AUQ,AuQ Gold Mining Inc.,AUQ,AuQ Gold Mining Inc.,TSXV,Materials,Mining,Gold,22705012.0,7946755.0,0.35,True,,Mining,,True
ARU,Aurania Resources Ltd.,ARU,Aurania Resources Ltd.,TSXV,Materials,Mining,Precious Metals,140227603.0,27344383.0,0.195,True,,Mining,,True
ARU.WT.B,Aurania Resources Ltd. wt 21oct2026,ARU,Aurania Resources Ltd.,TSXV,Materials,Mining,Precious Metals,140227603.0,27344383.0,0.195,True,WT,Mining,suffix:WT,False
AURA,Auranova Resources Inc.,AURA,Auranova Resources Inc.,TSXV,Materials,Mining,Gold,77089282.0,18501428.0,0.24,True,,Mining,,True
RES,Auric Resources Corp.,RES,Auric Resources Corp.,TSXV,Materials,Mining,Industrial Metals,45032867.0,1350987.0,0.03,True,,Mining,,True
AUME,Auriginal Mining Corp.,AUME,Auriginal Mining Corp.,TSXV,Materials,Mining,Industrial Metals,264664737.0,17203208.0,0.065,True,,Mining,,True
AURO,Auro Metals Inc.,AURO,Auro Metals Inc.,TSXV,Materials,Mining,Gold,132192701.0,228693373.0,1.73,True,,Mining,,True
ACU,Aurora Solar Technologies Inc.,ACU,Aurora Solar Technologies Inc.,TSXV,Energy,Renewable Energy Producers,Solar Energy,145074725.0,725374.0,0.005,True,,CleanTech,,True
ASG,Aurora Spine Corporation,ASG,Aurora Spine Corporation,TSXV,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,77219784.0,13899562.0,0.18,True,,Life Sciences,,True
ARL,Aurum Lake Mining Corporation.,ARL,Aurum Lake Mining Corporation,TSXV,Finance,Diversified Financial Services,Other Diversified Financial Services,23382500.0,1286038.0,0.055,True,,Diversified Industries,,True
ASTN.P,Auston Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AGLD,Austral Gold Limited,AGLD,Austral Gold Limited,TSXV,Materials,Mining,Precious Metals,668103679.0,113577626.0,0.17,True,,Mining,,True
