ticker,name,tsxv_sector,gics_sector,industry,qm,shares_outstanding,market_cap,price
RMB,Rumbu Holdings Ltd.,Diversified Industries,Consumer Discretionary,Personal Services,Personal Services,12782500.0,8819925.0,0.69
RML,Rusoro Mining Ltd,Mining,Materials,Mining,Gold,635174423.0,749505820.0,1.18
RZL,RZOLV Technologies Inc.,Diversified Industries,Materials,Chemicals,Special Chemicals,62270870.0,19926679.0,0.32
SBIO,Sabio Holdings Inc.,Diversified Industries,Media,Interactive Multi-Media,Online Content & Information,50989645.0,6118758.0,0.12
SAE,Sable Resources Ltd.,Mining,Materials,Mining,Precious Metals,32023156.0,16331810.0,0.51
SF,Safi Silver Corp.,Mining,Materials,Mining,Silver,55889081.0,17046170.0,0.305
SAGA,Saga Metals Corp.,Mining,Materials,Mining,Industrial Metals,107947758.0,52354663.0,0.485
SAGE,Sage Potash Corp.,Mining,Materials,Mining,Industrial Metals,171238633.0,24829602.0,0.145
FISH,Sailfish Royalty Corp.,Mining,Materials,Mining,Gold,78261195.0,441393140.0,5.64
SRL,Salazar Resources Limited,Mining,Materials,Mining,Industrial Metals,265083597.0,98080931.0,0.37
SCAI,SalesCloser Technologies Ltd.,Technology,Technology,Software & IT Services,Application Software,36187549.0,27140662.0,0.75
SME,Sama Resources Inc.,Mining,Materials,Mining,Industrial Metals,220068440.0,35210951.0,0.16
SLG,San Lorenzo Gold Corp.,Mining,Materials,Mining,Industrial Metals,108665347.0,655252043.0,6.03
SFR,Sandfire Resources America Inc.,Mining,Materials,Mining,Industrial Metals,1023352794.0,225137615.0,0.22
SCZ,Santacruz Silver Mining Ltd.,Mining,Materials,Mining,Industrial Metals,92490699.0,1290245252.0,13.95
SWA,Sarama Resources Ltd.,Mining,Materials,Mining,Gold,503591948.0,17625719.0,0.035
SATO,SATO Technologies Corp.,Diversified Industries,Finance,Capital Markets,Cryptocurrency Exchanges & Trading Platforms,90050785.0,8554825.0,0.095
SCD,Scandium Canada Ltd.,Mining,Materials,Mining,Industrial Metals,508594836.0,94090045.0,0.185
SCY,Scandium International Mining Corp.,Mining,Materials,Mining,Industrial Metals,358660813.0,59179035.0,0.165
SGLD,Scorpio Gold Corporation,Mining,Materials,Mining,Gold,346164194.0,119426647.0,0.345
SCOT,Scottie Resources Corp.,Mining,Materials,Mining,Precious Metals,77182008.0,231546024.0,3.0
SMY,Search Minerals Inc.,Mining,Materials,Mining,Industrial Metals,48165288.0,11078017.0,0.23
SCLT,Searchlight Resources Inc.,Mining,Materials,Mining,Industrial Metals,43111888.0,4526749.0,0.105
ID,Secure Blockchain Development Corp.,Technology,Technology,Software & IT Services,Application Software,32590480.0,6518096.0,0.2
SEGN,Seegnal Inc.,Life Sciences,Healthcare,Healthcare Providers & Services,Healthcare Information Services,46805531.0,13105549.0,0.28
SGZ,Sego Resources Inc,Mining,Materials,Mining,Industrial Metals,235216316.0,9408653.0,0.04
SCMI,Selkirk Copper Mines Inc.,Mining,Materials,Mining,Industrial Metals,132483571.0,239132846.0,1.805
SEND,Sendero Resources Corp.,Mining,Materials,Mining,Industrial Metals,26549623.0,21505195.0,0.81
SEVA,Seva Mining Corp.,Mining,Materials,Mining,Gold,171955285.0,75660326.0,0.44
SHRX,Sharp Therapeutics Corp.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,31575700.0,28733887.0,0.91
SHRP,Sherpa II Holdings Corp.,Diversified Industries,Finance,Diversified Financial Services,Other Diversified Financial Services,27578585.0,1930501.0,0.07
SIEN,Sienna Resources Inc.,Mining,Materials,Mining,Industrial Metals,45895390.0,3901109.0,0.085
SM,Sierra Madre Gold and Silver Ltd.,Mining,Materials,Mining,Gold,258783969.0,403702992.0,1.56
SGML,Sigma Lithium Corporation,Mining,Materials,Mining,Industrial Metals,112568313.0,1673890815.0,14.87
SGU,Signature Resources Ltd.,Mining,Materials,Mining,Gold,260046127.0,9101615.0,0.035
SBMI,Silver Bullet Mines Corp.,Mining,Materials,Mining,Precious Metals,148907895.0,20847106.0,0.14
SVG,Silver Grail Resources Ltd.,Mining,Materials,Mining,Precious Metals,43676622.0,7206643.0,0.165
SNAG,Silver North Resources Ltd.,Mining,Materials,Mining,Precious Metals,107995873.0,29158886.0,0.27
SVE,Silver One Resources Inc.,Mining,Materials,Mining,Silver,352647340.0,179850144.0,0.51
SPD,Silver Predator Corp.,Mining,Materials,Mining,Silver,35390745.0,3008214.0,0.085
SNG,Silver Range Resources Ltd.,Mining,Materials,Mining,Precious Metals,99055129.0,12381892.0,0.125
SSE,Silver Spruce Resources Inc.,Mining,Materials,Mining,Industrial Metals,35681607.0,3032937.0,0.085
SVRS,Silver Storm Mining Ltd.,Mining,Materials,Mining,Silver,870355074.0,448232864.0,0.515
SILV,Silver Valley Metals Corp.,Mining,Materials,Mining,Industrial Metals,35957438.0,5213829.0,0.145
VIPR,Silver Viper Minerals Corp.,Mining,Materials,Mining,Precious Metals,120000000.0,58200000.0,0.485
SWLF,Silver Wolf Exploration Ltd.,Mining,Materials,Mining,Precious Metals,62177286.0,6839502.0,0.11
AGX,Silver X Mining Corp.,Mining,Materials,Mining,Industrial Metals,286736745.0,266665173.0,0.93
AGA,Silver47 Exploration Corp.,Mining,Materials,Mining,Precious Metals,209458355.0,163377517.0,0.78
SICO,Silverco Mining Ltd.,Mining,Materials,Mining,Copper,54799406.0,558953942.0,10.2
HASH,Simply Solventless Concentrates Ltd.,Life Sciences,Healthcare,Pharmaceuticals,Pharmaceutical Manufacturers - Specialty & Generic,115502799.0,6352654.0,0.055
SEI,Sintana Energy Inc.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,559127494.0,223650998.0,0.4
SOI,Sirios Resources Inc.,Mining,Materials,Mining,Gold,671818910.0,137722877.0,0.205
SIG,Sitka Gold Corp.,Mining,Materials,Mining,Gold,423329680.0,448729461.0,1.06
SKEL,Skeleton Coast Uranium Corp.,Mining,Materials,Mining,Industrial Metals,47640184.0,6431425.0,0.135
SKRR,SKRR Exploration Inc.,Mining,Materials,Mining,Industrial Metals,17250207.0,4312552.0,0.25
SKYG,Sky Gold Corp.,Mining,Materials,Mining,Industrial Metals,97172191.0,2915166.0,0.03
SYH,Skyharbour Resources Ltd.,Mining,Materials,Mining,Industrial Metals,221148210.0,108362623.0,0.49
SXL,SLAM Exploration Ltd,Mining,Materials,Mining,Gold,159312530.0,9558752.0,0.06
SSX,Sleeping Giant Capital Corp.,Diversified Industries,Finance,Diversified Financial Services,Other Diversified Financial Services,12795999.0,1087660.0,0.085
SMWE,Smartwell Technology Corp.,Technology,Technology,Software & IT Services,Application Software,117477500.0,15859463.0,0.135
SMRV,Smooth Rock Ventures Corp.,Mining,Materials,Mining,Industrial Metals,19609087.0,3333545.0,0.17
SPN,Snipp Interactive Inc.,Diversified Industries,Media,Traditional Media,Marketing & Advertising Agencies,287113829.0,11484554.0,0.04
SGC,Solstice Gold Corp.,Mining,Materials,Mining,Gold,262482143.0,28873036.0,0.11
SOMA,Soma Gold Corp.,Mining,Materials,Mining,Gold,151889683.0,107841675.0,0.71
SNV,Sonoro Energy Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,240392602.0,5408834.0,0.0225
SGO,Sonoro Gold Corp.,Mining,Materials,Mining,Precious Metals,432141555.0,90749727.0,0.21
SRR,Source Rock Royalties Ltd.,Oil & Gas,Energy,Oil & Gas Storage/Transport,Oil & Gas Storage/Transport,45231645.0,46588595.0,1.03
SAO,South Atlantic Gold Inc.,Mining,Materials,Mining,Industrial Metals,209073166.0,14635122.0,0.07
SPMC,South Pacific Metals Corp.,Mining,Materials,Mining,Gold,69709355.0,63435514.0,0.91
STS,South Star Battery Metals Corp.,Mining,Materials,Mining,Industrial Metals,141900511.0,34765626.0,0.245
SMP,Southern Empire Resources Corp.,Mining,Materials,Mining,Gold,101000000.0,6060000.0,0.06
SOU,Southern Energy Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,339071672.0,23735018.0,0.07
SSV,Southern Silver Exploration Corp,Mining,Materials,Mining,Precious Metals,414758258.0,269592868.0,0.65
SGQ,SouthGobi Resources Ltd.,Oil & Gas,Energy,Thermal Coal,Thermal Coal,370549288.0,148219716.0,0.4
SML,Southstone Minerals Limited,Mining,Materials,Mining,Precious Metals,32041888.0,1602095.0,0.05
SQG,Spackman Equities Group Inc.,Diversified Industries,Finance,Asset Management Services,Asset Management Services,293756362.0,35250764.0,0.12
SPA,Spanish Mountain Gold Ltd,Mining,Materials,Mining,Gold,527302713.0,187192464.0,0.355
SPRQ,Sparq Systems Inc.,CleanTech,Energy,Renewable Energy Producers,Solar Energy,116735112.0,116735112.0,1.0
SPAR,Spartacus Metals Inc.,Mining,Materials,Mining,Industrial Metals,7934297.0,1110802.0,0.14
W,Spartan Metals Corp.,Mining,Materials,Mining,Industrial Metals,54145343.0,29238486.0,0.54
SRI,Sparton Resources Inc.,Mining,Materials,Mining,Industrial Metals,181727252.0,2725909.0,0.015
SPC,SPC Nickel Corp.,Mining,Materials,Mining,Industrial Metals,447323825.0,38022526.0,0.085
SSA,Spectra Products Inc.,Diversified Industries,Consumer Discretionary,Vehicles,Automotive Parts,13055565.0,2480558.0,0.19
SRQ,SRQ Resources Inc.,Mining,Materials,Mining,Industrial Metals,46095650.0,3687652.0,0.08
LORD,St. James Gold Corp.,Mining,Materials,Mining,Gold,39535628.0,2767494.0,0.07
SRC,Stakeholder Gold Corp.,Mining,Materials,Mining,Gold,25922662.0,44068526.0,1.7
